('7', 0.02395610701980898)
('8', 0.025859270907230707)
('5', 0.030612438304672314)
('2', 0.031095243468328527)
('0', 0.035910059444619946)
('4', 0.037830141399726146)
('6', 0.03975263406681405)
('9', 0.04180572178442999)
('3', 0.04222293477152739)
('1', 0.04955566800381009)
('Unnamed: 0', 0.08527131782945738)
